OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
62,"12 John St W, Waterloo, ON N2L 1A7, Canada",-80.5183837,62,43.4590032,0,1
63,"12 McKay St E, Cayuga, ON N0A 1E0, Canada",-79.8533879,63,42.9497097,0,1
64,"1200 Main St W, Hamilton, ON L8P 1H1, Canada",-79.9174697,64,43.259495,1,10
65,"121 Charles St W, Kitchener, ON N2G 1H7, Canada",-80.4978594,65,43.4511316,0,3
66,"1221 Lakeshore Rd, Burlington, ON L7S 0A1, Canada",-79.8017882,66,43.3152246,1,11
67,"1225 Maple Ave, Milton, ON L9T 5Y9, Canada",-79.8665349,67,43.5391118,0,2
68,"1230 North Shore Blvd E, Burlington, ON L7S 1C4, Canada",-79.8026739,68,43.3170252,1,14
69,"1235 Fairview St, Burlington, ON L7S 2K9, Canada",-79.8194314,69,43.3310383,1,3
70,"1235 Trafalgar Rd, Oakville, ON L6H 3P1, Canada",-79.6904635,70,43.467519,0,2
71,"1235 Wilson Ave, North York, ON M3M 0B2, Canada",-79.4893709,71,43.7237634,0,2
72,"124 Charing Cross St, Brantford, ON N3R 2J1, Canada",-80.2640603,72,43.1587273,0,4
73,"124 Weber St S, Waterloo, ON N2J 2A7, Canada",-80.5053886,73,43.4655568,0,2
74,"1275 Rymal Rd E, Hamilton, ON L8W 3N1, Canada",-79.8365897,74,43.1894097,1,1
75,"128 Emerald St S, Hamilton, ON L8N 2V5, Canada",-79.8560544,75,43.2493435,1,5
76,"1280 Main St W, Hamilton, ON L8S 4L8, Canada",-79.9202861,76,43.2622445,1,39
77,"1288 Danforth Ave, Toronto, ON M4J 1M6, Canada",-79.3302011,77,43.6821687,0,5
78,"129 Central Dr, Ancaster, ON L9G 2A3, Canada",-79.998734,78,43.2135108,1,1
79,"130 Dunn Ave, Toronto, ON M6K 2R7, Canada",-79.4327094,79,43.6348034,0,1
80,"130 Wilson St, Hamilton, ON L8R 1E2, Canada",-79.8620242,80,43.2571474,1,9
81,"1300 Cornwall Rd, Oakville, ON L6J 7W5, Canada",-79.6645072,81,43.472605,0,1
82,"132 Parkdale Ave S #207, Hamilton, ON L8K 3P3, Canada",-79.7937837,82,43.233124,1,1
83,"132 Parkdale Ave S, Hamilton, ON L8K 3P3, Canada",-79.7937837,83,43.233124,1,5
84,"1320 Barton St E, Hamilton, ON L8H 2W1, Canada",-79.8066425,84,43.2491067,1,2
85,"133 King St W, Dundas, ON L9H 1V3, Canada",-79.959576,85,43.2671167,1,4
86,"135 Union St E, Waterloo, ON N2J 1C4, Canada",-80.5091941,86,43.4634382,0,1
87,"1361 Hazelton Blvd, Burlington, ON L7P 4T9, Canada",-79.8519845,87,43.3573723,1,1
88,"1390 Main St E, Hamilton, ON L8K 1C1, Canada",-79.8103914,88,43.2402737,1,1
89,"14 John St N, Hamilton, ON L8R 1G9, Canada",-79.8660617,89,43.2563267,1,2
90,"140 Centennial Pkwy N, Hamilton, ON L8E, Canada",-79.7609284,90,43.233076,1,3
91,"1400 Weber St E, Kitchener, ON N2A 3Z8, Canada",-80.438998,91,43.432829,0,2
92,"143 Metcalfe St, Elora, ON N0B, Canada",-80.4301935,92,43.6830101,0,12
93,"1433 Ontario St, Burlington, ON L7S 1G5, Canada",-79.8005404,93,43.3255152,1,1
94,"1436 Brock Rd, Dundas, ON L9H 5E4, Canada",-80.0297027,94,43.369438,1,1
95,"144 Main St S, Brampton, ON L6W 2C9, Canada",-79.75013,95,43.6790168,0,1
96,"1447 Upper Ottawa St, Hamilton, ON L8W 3J6, Canada",-79.8410579,96,43.1959785,1,4
97,"1450 Block Line Rd, Kitchener, ON N2C 0A5, Canada",-80.4691717,97,43.419066,0,6
98,"1475 Upper Ottawa St, Hamilton, ON L8W 3J6, Canada",-79.8413134,98,43.1952188,1,31
99,"1483 Main St W, Hamilton, ON L8S 1E1, Canada",-79.9251675,99,43.2574135,1,1
100,"149 Union St E, Waterloo, ON N2J 1C4, Canada",-80.5084701,100,43.4634918,0,4
101,"1493 Centre Rd, Carlisle, ON L0R 1H2, Canada",-79.9825311,101,43.3950612,1,11
102,"1495 Cornwall Rd, Oakville, ON L6J 0B2, Canada",-79.6597273,102,43.4783864,0,1
103,"15 Lockport Way, Stoney Creek, ON L8E, Canada",-79.6338938,103,43.2181847,1,1
104,"15 Mountain Ave S, Stoney Creek, ON L8G 2V6, Canada",-79.7563288,104,43.2157096,1,8
105,"150 Brant Ave, Brantford, ON N3T 3H7, Canada",-80.274316,105,43.1441686,0,1
106,"150 Main St E, Grimsby, ON L3M 1P1, Canada",-79.5448831,106,43.1878019,1,9
107,"1515 King St E, Cambridge, ON N3H 3R6, Canada",-80.3455052,107,43.3900236,0,1
108,"155 James St S, Hamilton, ON L8P 3A4, Canada",-79.8708022,108,43.2519693,1,5
109,"1568 Main St W, Hamilton, ON L8S 1E2, Canada",-79.9268158,109,43.2576615,1,1
110,"16 Andrew St, Kitchener, ON N2H 5R2, Canada",-80.5056827,110,43.4560971,0,13
111,"16 Cross St, Dundas, ON L9H 2R4, Canada",-79.9536407,111,43.2667539,1,1
112,"160 Chancellors Way, Guelph, ON N1G 1Y2, Canada",-80.2337092,112,43.5248649,0,2
113,"160 Dundurn St S, Hamilton, ON L8P 4K3, Canada",-79.8901583,113,43.2579465,1,5
114,"160 Kortright Rd W, Guelph, ON N1G 4V7, Canada",-80.2181014,114,43.5137432,0,1
115,"1605 Main St W, Hamilton, ON L8S 1E6, Canada",-79.9295465,115,43.2568718,1,1
116,"164 Colborne St W, Brantford, ON N3T 1L2, Canada",-80.2763408,116,43.1315653,0,3
117,"165 Barton St E, Hamilton, ON L8L 2W6, Canada",-79.8587185,117,43.2632033,1,1
118,"167 Hespeler Rd, Cambridge, ON N1R 3H6, Canada",-80.3193521,118,43.381414,0,22
119,"167 Main St E, Grimsby, ON L3M 1P2, Canada",-79.5418552,119,43.1883933,1,1
120,"1685 Main St W, Hamilton, ON L8S 1G5, Canada",-79.9342231,120,43.256644,1,7
121,"169 Main St E, Grimsby, ON L3M 1P3, Canada",-79.541906,121,43.188256,1,7
122,"17 King St W, Stoney Creek, ON L8G 1H1, Canada",-79.7603589,122,43.2172706,1,1
123,"170 Rebecca St Unit D, Oakville, ON L6K 1J6, Canada",-79.6780563,123,43.4387185,0,1
124,"170 University Ave W, Waterloo, ON N2L 3E9, Canada",-80.537806,124,43.4720785,0,5
125,"1745 Chiefswood Rd, Ohsweken, ON N0A 1M0, Canada",-80.116513,125,43.0722284,0,2
126,"175 Alma St, Guelph/Eramosa, ON N0B, Canada",-80.1466065,126,43.6165299,0,4
127,"175 Longwood Rd S, Hamilton, ON L8P 0A1, Canada",-79.900641,127,43.2568062,1,1
