ID,LONGITUDE,LATITUDE,Coloring,DA,CD,Province,CSD,Abbrev,Suppressed,POP2016,POP2011,Age <4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,DAUID,POPY65,POPO65
204169,-79762300,43675465,3,35210189,3521,35,3521010,ON,N,1194,1195,125,105,100,135,20,25,25,30,35,85,75,75,65,80,80,70,45,35,30,40,20,25,15,35210189,1210,130
204185,-79758996,43674776,0,35210190,3521,35,3521010,ON,N,398,395,20,20,20,25,5,5,5,5,10,35,35,25,25,30,40,30,15,15,20,5,15,15,5,35210190,365,60
205665,-79756569,43676817,2,35210191,3521,35,3521010,ON,N,303,300,20,15,15,30,5,5,5,5,5,20,10,20,30,15,35,30,25,15,5,10,5,5,5,35210191,305,30
205657,-79753599,43673537,3,35210192,3521,35,3521010,ON,N,578,575,20,20,35,40,10,5,10,5,10,45,25,25,35,50,45,70,50,25,20,30,20,15,5,35210192,525,90
205673,-79753371,43678208,0,35210193,3521,35,3521010,ON,N,378,375,15,30,25,20,5,5,0,5,5,20,20,10,25,30,35,30,45,25,5,20,10,10,0,35210193,350,45
205729,-79748426,43675797,1,35210194,3521,35,3521010,ON,N,887,890,30,30,25,30,5,5,0,5,5,50,70,60,65,50,60,75,70,70,60,30,45,35,30,35210194,705,200
205681,-79749227,43672443,2,35210195,3521,35,3521010,ON,N,594,595,15,25,40,40,10,10,5,15,5,30,20,20,25,35,50,45,55,55,30,40,35,20,15,35210195,500,140
205697,-79746269,43668721,0,35210198,3521,35,3521010,ON,N,424,425,15,15,25,40,10,10,5,5,5,35,30,15,20,35,40,25,30,25,30,20,15,0,10,35210198,385,75
205713,-79743256,43667553,1,35210199,3521,35,3521010,ON,N,590,590,20,30,40,55,10,15,5,5,15,75,35,30,25,50,45,65,40,40,30,10,10,5,5,35210199,600,60
205705,-79743400,43663683,3,35210204,3521,35,3521010,ON,N,365,365,15,5,35,25,5,5,5,5,0,30,30,30,25,20,25,20,35,25,15,10,0,0,0,35210204,340,25
205625,-79742970,43662001,4,35210205,3521,35,3521010,ON,N,464,465,30,30,30,30,5,5,10,5,5,30,35,30,30,40,30,45,50,25,10,10,5,5,0,35210205,465,30
205617,-79744902,43660888,0,35210206,3521,35,3521010,ON,N,432,435,10,25,30,30,10,5,5,5,10,40,50,15,25,30,35,40,35,35,15,10,5,5,0,35210206,435,35
205609,-79744027,43659416,1,35210207,3521,35,3521010,ON,N,721,720,30,40,45,80,20,20,15,15,20,65,50,25,40,60,65,65,45,35,20,20,15,5,5,35210207,735,65
205601,-79747410,43657257,2,35210208,3521,35,3521010,ON,N,553,555,25,30,40,40,5,10,10,10,5,45,45,45,40,40,40,35,35,40,25,10,10,0,5,35210208,540,50
205593,-79747391,43656311,1,35210209,3521,35,3521010,ON,N,674,675,50,50,40,40,5,10,5,10,10,60,60,45,60,45,45,50,45,30,20,15,5,5,0,35210209,660,45
205537,-79749895,43655667,0,35210210,3521,35,3521010,ON,N,556,555,30,45,55,15,5,5,5,0,0,45,50,50,60,30,20,35,30,35,20,10,5,5,5,35210210,515,45
205497,-79752277,43655149,3,35210211,3521,35,3521010,ON,N,989,990,70,60,75,90,20,15,25,15,15,85,85,80,80,65,75,50,60,40,25,20,5,10,5,35210211,1005,65
205473,-79753394,43652355,0,35210212,3521,35,3521010,ON,N,594,590,50,40,30,40,10,5,5,10,15,55,50,50,50,40,50,45,15,25,15,10,5,5,5,35210212,585,40
205457,-79753312,43650781,1,35210213,3521,35,3521010,ON,N,860,860,55,50,65,65,15,10,15,10,20,60,65,80,75,50,65,50,50,50,30,20,15,5,10,35210213,850,80
205465,-79756597,43652162,4,35210214,3521,35,3521010,ON,N,516,515,30,30,35,65,10,10,15,15,15,45,35,30,35,45,35,25,40,25,20,10,5,5,0,35210214,540,40
205449,-79754683,43649301,2,35210215,3521,35,3521010,ON,N,674,675,35,35,60,50,10,10,10,10,15,60,40,45,60,55,40,45,40,35,30,15,10,0,0,35210215,655,55
204081,-79758380,43654063,2,35210216,3521,35,3521010,ON,N,687,685,45,40,45,35,10,10,5,10,5,65,70,50,45,45,40,60,45,40,25,15,10,5,5,35210216,665,60
204073,-79760534,43653941,3,35210217,3521,35,3521010,ON,N,747,745,60,60,60,45,10,10,10,5,15,60,60,85,35,50,60,50,35,40,25,15,10,10,5,35210217,750,65
204097,-79757736,43656745,1,35210218,3521,35,3521010,ON,N,704,700,50,45,30,60,10,15,15,5,15,60,60,60,40,35,50,60,50,30,25,20,10,5,5,35210218,690,65
205513,-79753528,43657853,4,35210219,3521,35,3521010,ON,N,403,405,30,30,25,45,15,10,5,10,10,30,20,30,35,25,30,30,30,15,15,10,0,5,5,35210219,425,35
205505,-79754944,43658686,2,35210220,3521,35,3521010,ON,N,377,375,25,25,20,25,5,5,0,5,5,30,40,25,25,25,25,30,25,30,15,0,5,5,0,35210220,370,25
